,title,rating,date,review
10,Avis La Banque Postale #133,"2,2 sur 5 étoiles",(Évaluation de Dan le 04/07/2022),"Nous avons signé un acte pour transformer un compte individuel en compte joint, et ce depuis le 3 avril 2022. A ce jour rien n'a été fait. j'ai dû envoyer une réclamation au médiateur de la poste et j'ai adressé plusieurs messages à LA POSTE à ce sujet. Ni excuse, ni réponse. Il est facile d'ouvrir un compte, mais le suivi reste à désirer."
11,Avis La Banque Postale #132,"2,0 sur 5 étoiles",(Évaluation de Albator le 02/07/2022),"Nous avons un compte courant en ligne depuis longtemps (Banque Directe au départ et Fortunéo maintenant). Parfait.Mais il y a un point avec la banque en ligne qui coince, c'est le dépôt d'argent liquide et éventuellement la remise de chèques. Donc besoin de quelque chose de local et sans frais. À la campagne, nous avons ouvert à LBP les livrets A des 5 membres de la famille et 3 livrets jeunes : pratique, aucun frais. Ouverture extrêmement compliquée par contre. Ensuite tout allait bien car finalement utilité très réduite et pas vraiment d'argent dessus.Suite à l'achat de notre maison en ville nous avons également ouvert il y a 5 ans un CCP joint car prêt immobilier octroyé par LBP.C'est un compte sec : pas de carte, et on paye les frais minimums trimestriels qui ne font qu'augmenter pour un service ridicule (au départ 3€ et maintenant 4,2€ avec une très nette accélération des augmentations depuis 2 ans).Mais à partir du moment où l'on commence à avoir de l'argent sur les livrets le CCP est de fait obligatoire : on ne peut désormais faire des virements des livrets que vers le CCP. À LBP tous les délais dans tous les domaines sont extrêmement longs et beaucoup plus qu'ailleurs : virements reçus et émis (points positif tout de même les virements instantanés qui sont devenus gratuits, mais limités à 1000€ alors que la réglementation autorise jusqu'à 15000, ajout d'un bénéficiaire de virement qui prend jusqu'à 3 jours, les chèques qui sont encaissés systématiquement au bout de 8 jours, des dates de valeurs très désavantageuses.On pourrait penser que la proximité du bureau de poste est un avantage mais tout le monde connait les files d'attente à la poste ! De plus les 3 bureaux de postes les plus proches de chez mois ont fermés. Et avoir un rendez-vous avec le conseiller était devenu quasi mission impossible tellement les délais sont longs. Je viens de découvrir que notre compte n'était plus gérer dans le bureau de poste du coin : on nous a passé à La banque chez soi sans rien nous demander ! On a un maintenant un conseiller à distance, de force. Et quel conseiller : il devait satisfaire le premier critère de recrutement donné au début, et haut la main.Venant de vendre un bien on a fait l'erreur de faire virer au notaire une partie de la vente sur le CCP dans le but d'ouvrir 2 PEL et de les mettre au plafond.Chose dite, chose faite : mon ouverture de PEL en ligne s'est plutôt bien passée (il a tout de même fallu plusieurs jours pour que le PEL soit validé). Pour ma femme ça a été beaucoup plus compliqué car pour ouvrir le PEL, et certainement beaucoup d'autres choses) il faut absolument utiliser l'application mobile : mot de passe envoyé par courrier reçu 10 jours après ; mot de passe certiplus également par courrier 5 jours supplémentaires. Presque 3 semaines pour ouvrir le PEL, et oui il faut ajouter le délai de validation ! Et tout ça pour rien car notre fameux conseiller est ""très efficace et compétent"".J'ai donc alimenté mon PEL pour le mettre au plafond : tout s'est bien passé on peut virer de son CCP le montant de son choix tant que ça reste interne.Mais au bout de 5 jours, virement annulé ! Alors commence des échanges extrêmement distendus via la messagerie de la poste : entre chaque message le conseiller met bien 5 jours pour répondre, et quelles réponses. Au final impossible : je lui demande de fermer les PEL ce qui sera effectivement réalisé 10 jours plus tard.Donc actuellement on va devoir payer pour faire un virement qui ne sera certainement exécuté que dans un mois puisque la loi le permet."
12,Avis La Banque Postale #131,"2,0 sur 5 étoiles",(Évaluation de Anonyme le 01/07/2022),"Impossible d'accéder à mon compte en ligne depuis une semaine ! J'ai demandé par deux fois un code d'accès provisoire, j'ai fait tout ce qui m'était demandé (à savoir changer ledit code), cela ne fonctionne toujours pas ! Il y a très probablement un dysfonctionnement interne et c'est moi qui paie les communications téléphoniques !Pas moyen de comprendre ce qui se passe. Les personnes qui me répondent font durer la conversation et posent un tas de questions, mais ne répondent pas vraiment à la mienne (au bout de trois longs appels qui n'ont servi à rien, à 0,15 € la minute plus le prix d'un appel, c'est très coûteux).Beaucoup trop impersonnel et trop coûteux. ""Conseiller personnel"" souvent absent ou qui ne répond pas."
13,Avis La Banque Postale #130,"1,8 sur 5 étoiles",(Évaluation de Frédéric le 30/06/2022),"Suite au décès de ma maman, la succession a été désastreuse. D'abord, j'ai eu énormément de problèmes à joindre le conseiller qui suivait ses comptes, suite à de nombreux appels, et mails restés sans réponses. Devant cette situation, une autre conseillère a pris la suite (retour à la case départ). Au bout de 5/6 mois, j'ai reçu les premiers virement de ses comptes (PEL, Livret A, LDD, etc...). Concernant l'assurance vie, j'ai eu un rdv avec une personne qui m'a été vendu comme ""Expert"", pour signer un contrat d'assurance vie Cachemire 2. Je m'attendais à avoir des conseils avisés quant au placement d'une somme de 100 000€ mais rien. Aujourd'hui, j'essaie de le contacter par mail ou au téléphone, il ne répond pas ! Manque de compétence évidente."
14,Avis La Banque Postale #129,"3,2 sur 5 étoiles",(Évaluation de grem le 30/06/2022),"Client depuis 30 ans j ai une visa 1er, j ai voulu ajouter l´option crédit pour pouvoir bénéficier d´une extension de garantie constructeur de 3 ans. Je demande le minimum soit 1000 euros, je ne fournis aucun document vu que l´année dernière j ai fourni mon avis d imposition donc ils connaissent mes revenus. Très aimable la conseillère me fait signer électroniquement mon contrat mais ne m en tire pas un exemplaire pour moi. Après avoir signé elle me signale qu'elle a mis 6000 euros de crédit(revolving) , bon je rouspète mais elle me dit qu' après 75 ans je ne pourrais jamais plus augmenter la somme donc j'accepte. En rentrant le lendemain ou quelques jours après je lis mon contrat et je m'aperçois que mes revenus sont inexacts par rapport à ma déclaration d'impôt, bon je laisse passer mais au bout de 14 jours toujours rien. Je pense que le service a du arrêter ce contrat (j'avais la veille envoyé ma lettre de rétractation) on ne m a toujours pas dit que mon contrat a été refusé. La banque postale n´est que ma 2ème banque, ma 1ère est boursorama(nickel)."
15,Avis La Banque Postale #128,"1,6 sur 5 étoiles",(Évaluation de Louis le 30/06/2022),"La banque postale m'a bloqué mon accès à mes comptes internet car pas de certicode, je n'ai donc pas pu consulter mon compte joint et compte personnel et n'ai pu faire aucune transaction tout cela après quarante années de client fidèle. Je téléphone au numéro indiqué qui est un répondeur en boucle pas d'interlocuteur je téléphone ensuite au 3639 j'arrive à avoir enfin un conseiller qui me dit que je recevrai un code par courrier d'ici 3 ou 4 jours et que cela recommencera tout les 3 mois et qu'il ne peut rien faire pour moi, même pas m'envoyer un code provisoire pour faire mes transactions et virements. Durant ces 3 ou 4 jours je suis donc bloqué par des gens en qui j'avais confiance. Je demande pourquoi je ne pouvais pas recevoir un code par sms , il me dit que je n'ai pas de numéro de téléphone sécurisé et qu'il fallait me rendre à mon bureau de poste, seulement les horaires d'ouverture tombent en même temps que mes horaires de travail. De plus quand je fais un achat internet en carte bleu le code de transaction tombe sur le téléphone de mon épouse. Dans l'air du modernisme et du tout numérique, nous sommes ici encore à l'âge de pierre."
16,Avis La Banque Postale #127,"2,3 sur 5 étoiles",(Évaluation de Anonyme le 28/06/2022),"Après avoir attendu 40 minutes pour avoir des renseignements, j'ai le numéro de téléphone d'un conseiller. Autant la dame de la centrale était aimable et gentille, que le conseiller était désagréable. Il y a des personnes qui font leur job correctement, mais d'autres comme ce conseiller qui sape le travail fait en amont. A vrai dire, j'ai plus eu l'impression de l'ennuyer, que lui avait l'envie d'avoir un nouveau client. C'est désolant, d'avoir un conseiller qui d'entrée vous demande pourquoi vous voulez un compte. Je crois que si je veux ouvrir un compte, c'est peut être parce que j'en ai besoin. Il peut me conseiller mais pas me mettre mal à l'aise ou me stigmatiser du fait que le pèlerin lambda que je suis veut ouvrir un compte!"
17,Avis La Banque Postale #126,"2,6 sur 5 étoiles",(Évaluation de Anonyme le 27/06/2022),"Banque qui bloque les opérations carte bleue, pour forcer à prendre une carte plus chère (clairement énoncé par un ""conseiller"" au téléphone). Les personnes (quant il y en a) en bureau de banque vous envoie littéralement balader, en tous cas au bureau de Cognac. Je vais changer de banque maintenant que ma situation a ""une belle évolution"" comme m'a dit un conseiller au téléphone."
18,Avis La Banque Postale #125,"2,0 sur 5 étoiles",(Évaluation de Anonyme le 17/06/2022),"Mais que se passe-t-il à la Banque Postale. Client depuis plus de 30 ans, j'étais satisfait des services, au point d'en faire la publicité autour de moi. Depuis la fin de 2021, je constate une dégradation vertigineuse du service dans tous les domaines : expertise des conseillers, réactivité et précision des conseillers dits experts, réactivité des services supports (prêts). Cela devient insupportable et nous pousse à la concurrence. A quand une saine réaction ?"
19,Avis La Banque Postale #124,"2,2 sur 5 étoiles",(Évaluation de Gabriel le 17/06/2022),"Incapable d'obtenir une quelconque information sur le Cachemire où mon père avait mis ses économies. Renvoi de conseiller en service 3639 puis transfert vers CNP Assurance qui me redirige vers le numéro de la poste qui ne répond pas, mais raccroche sans aucune information. Pas plus d'aide du côté du médiateur. Quasi impossibilité d'avoir un conseiller au téléphone, il faut se déplacer. Cela fait quasiment un mois.Difficultés également au niveau des virements supérieurs à 4000 € vu qu'il faut faire appel au conseiller et pas par moyen électronique. J'ai 2 autres banques : Le crédit agricole et boursorama; leur service est impeccable et prompt."
20,Avis La Banque Postale #123,"3,0 sur 5 étoiles",(Évaluation de Anonyme le 17/06/2022),"Le service client laisse à désirer, de plus on tombe sur différents conseillers qui ne disent jamais la même chose sur le même sujet. Sans parler des dépôts de chèques, chez les autres banques entre 24h et 48h vous avez le crédit du chèque confirmé, chez la banque postale vous pouvez attendre jusqu à 96 h si vous posez votre chèque le vendredi. Pire j´attends mon code certicode plus depuis quinze jours et toujours rien. Vraiment déçu de la gestion de cette pseudo banque."
21,Avis La Banque Postale #122,"1,6 sur 5 étoiles",(Évaluation de Anonyme le 09/06/2022),J'ai voulu faire une mobilité bancaire vers une autre banque car les frais de tenue de compte sont beaucoup trop élevés à la banque postale. Ils m'ont résilié tous mes moyens de paiement bien avant la date de clôture de compte sans m'en informer et m'ont fichée à la banque de France pour un chèque que j'ai fait bien avant la clôture mais qui n'a pas pu être encaissé et que j'ai pourtant aussitôt refait de ma nouvelle banque.
22,Avis La Banque Postale #121,"2,2 sur 5 étoiles",(Évaluation de Vincent le 31/05/2022),"Je suis client auprès d´autres banques (dont britannique et belge) mais la banque de la poste : quelle plaie !Ex :- j’ai le certicode depuis belle lurette, et voilà que l’on me réclame à nouveau de m’inscrire !- Idem pour les codes qui doivent parvenir par sms et qui n’arrivent jamais !- Les enregistrements des comptes tiers obligatoires.Bref, je n'ai plus accès à mon compte."
23,Avis La Banque Postale #120,"1,6 sur 5 étoiles",(Évaluation de Anonyme le 30/05/2022),"- Cliente depuis plusieurs annés. Malgré statut et salaire, tout un cinéma pour l'accord d'un PRÊT. Mais c'est réglé, j'ai soumis le pbm à une autre banque, bien côtée par ses clients, effectivement prêt accepté de suite avec un taux plus qu'avantageux, contrairement à celui de LBP >9% .- Service téléphonique payant disponible à partir de 8h, lundi 30 mai 2022, il est 9h toujours injoignable. Entre 8h04 et 9h, 4X appels, dit ""le service fermé"", mais le coût de l'appel lui n´est pas fermé. Tantôt appel facturé 0.15cts, tantôt 3€."
24,Avis La Banque Postale #119,"2,0 sur 5 étoiles",(Évaluation de Ludivine le 27/05/2022),"Je suis à la banque postale depuis plus de 10 ans, j'essaye de relativiser la lenteur et les défauts de leur service mais là c'est trop ! Je reçois ma paye un jour après tous mes collègues chaque mois et encore, si ce n'est pas deux voir trois jours, et pourtant la somme est visible en attente sur mon compte pendant cette période!48h pour ajouter un destinataire pour un virement. Et que dire de leur service client qui après vous avoir bien fait raquer sur l'appel payant vous raccroche au nez parce qu'aucun conseiller n'est disponible !"
25,Avis La Banque Postale #118,"2,2 sur 5 étoiles",(Évaluation de Anonyme le 27/05/2022),"Suite à mon dernier post relatant la manière dont la Banque Postale ne crédite pas les salaires en temps et en heure contrairement aux autres établissements bancaires, un message s'inscrit stipulant qu'une erreur technique est à l'origine de ce blocage et que c'est la raison pour laquelle nos salaires n'apparaissent pas.Erreur très sélective puisque les prélèvements et le paiement des chèques au début n'ont eux, pas été bloqués et donc pas victimes de cet incident."
26,Avis La Banque Postale #117,"2,0 sur 5 étoiles",(Évaluation de Anonyme le 27/05/2022),"La banque postale, la seule banque qui garde vos salaires 3 jours avant de le créditer sur votre compte. Salaires certes le 24 par DGFIP, salaires crédités le 25 ou 26 pour toutes les autres banques. La banque postale créditera les salaires le 28 soit entre 2 et 3 jours de plus que les autres organismes.Motif invoqué, il y a eu 1 jour férié. N'hésite pas à effectuer les prélèvements, honorer les chèques 1 jour férié et appliquer des frais de découvert."
27,Avis La Banque Postale #116,5 sur 5 étoiles,(Évaluation de Anonyme le 25/05/2022),"J'ai été longuement à la banque postale de Lyon, ce fut un très mauvais service. J'avais jamais rencontré mon conseiller. Alors qu'aujourd'hui j'ai changé d'adresse et je suis celle de Paris XIV. Le service est complètement différent, le conseiller est super sympathique. Il m'a bien expliqué et était à l'écoute. Comme quoi le service client est très important."
28,Avis La Banque Postale #115,"1,8 sur 5 étoiles",(Évaluation de André le 24/05/2022),"Il y a 2 mois je déménage, donc je fais mon changement d’adresse, j’obtiens même un rdv avec ma nouvelle conseillère près de chez nous.Aujourd’hui j’attends ma nouvelle CB et je découvre qu’elle a été envoyé à mon ancienne adresse. J’appelle le service client qui me dit que je dois refaire mon changement en ligne et faire opposition pour qu’on me renvoie une CB, ce que je fais. J’envoie le justificatif de domicile comme expliqué et là je reçois un courriel m’informant qu’ils ne peuvent faire mon changement d’adresse, sans me donner d’explication. Et dans le même temps je reçois un autre courrier m’informant qu’ils ont renvoyé ma nouvelle carte à mon ancienne adresse !"
29,Avis La Banque Postale #114,"2,0 sur 5 étoiles",(Évaluation de Anonyme le 23/05/2022),Depuis décembre je tente de clôturer mon compte par lettre recommandée avec AR. A ce jour le compte n'est pas clôturé et les frais bancaires continuent d'être prélevés. Jamais le même interlocuteur qui n'est pas au courant de ce qu'a fait son collègue et donc ne trouve pas les documents. Impossible de voir avec une agence locale car tout est centralisé à Lyon et aucune communication entre eux. Frais bancaires excessifs.
30,Avis La Banque Postale #113,5 sur 5 étoiles,(Évaluation de Babette le 20/05/2022),"Faisant des travaux j ai voulu une solution pour une garantie des accidents de la vie. J´ai obtenue une réponse rapide, j ai recu le devis et le contrat à signer dans mon espace personnel. Une signature électronique et voilà le tour est joué. Je suis assurée ainsi que mes enfants et petits enfants et mon concubin pour les accidents à la maison. Tout va bien."
31,Avis La Banque Postale #112,"2,4 sur 5 étoiles",(Évaluation de Rai le 20/05/2022),"Les services de cette banque ont toujours été à la hauteur. Néanmoins ces quatre dernières années ont été catastrophiques en terme de réactivité et de gestion de la sécurité:- Demande sur le site d'augmentation du plafond de retrait et paiement un mois avant de partir à l'étranger: résultat, le plafond a été augmenté deux semaines après mon retour de voyage. Aucune excuse.- Le service téléphonique 3639 est payant, ça peut se comprendre, mais c'est à la minute et il y a des messages d'introduction très longs. De plus ils demandent un identifiant soit disant inscrit sur nos relevés qui n'existe pas.-On nous attribue un conseiller financier qui ne répond jamais aux demandes de rendez-vous, sauf quand on veut investir !-Et dernièrement, ils ont modifié le numéro international de mon téléphone en +33 alors que je suis dans les DOM. Conséquence, je ne reçois plus le numéro certifié de validation pour payer en ligne. Et j'ai beau leur expliquer par messagerie, je n'ai jamais de réponse et quand j'en ai une, c'est: ""voir votre conseiller financier"". La boucle est bouclée !"
32,Avis La Banque Postale #111,"1,8 sur 5 étoiles",(Évaluation de Anonyme le 18/05/2022),"La banque postale réclame 90 euros de frais de fermeture pour un compte d'association. Elle oblige en plus à verser le solde à une autre association sinon ""la somme sera acquise à La Banque Postale""."
33,Avis La Banque Postale #110,"1,8 sur 5 étoiles",(Évaluation de Anonyme le 18/05/2022),"J'ai ouvert un compte courant uniquement pour faire des virements. Sans CB, sans chéquier, sans assurance. (Dit compte sec) Donc compte gratuit m'a t-on dit, sauf que tous les ,on me prélevait des frais de comptes. Au bout de 2ans de lutte à réclamer ces frais avec clauses à l´appui, j'ai pris la décision de clôturer tous mes comptes.Autre combat = 2 autres années à aller de droite à gauche (toutes les banques postales se renvoient la balle), de courrier avec diverses adresses sans jamais avoir de réponses et avec des comptes qui ne se cloturaient jamais. Et toujours débitée sur des frais de comptes concernant des comptes dits gratuits."
34,Avis La Banque Postale #109,"1,4 sur 5 étoiles",(Évaluation de Kiridine le 13/05/2022),"Impossible de disposer de son Livret A et de procéder à des virements de compte à compte si on n'a pas de CCP à la Banque Postale. Impossible de faire un virement vers un CCP qui ne soit pas le sien. Impossible de parler à un humain sans disposer d'un mot de passe (et si on l'a perdu... pas moyen de le récupérer) et passer par un n° surtaxé. Pour vider mon livret, je dois me rendre au bureau où sont domicilés mes livrets, lequel n'est ouvert que le matin ! Bondé le samedi et pas de conseiller sur place ce jour-là."
35,Avis La Banque Postale #108,"2,0 sur 5 étoiles",(Évaluation de Anonyme le 12/05/2022),"Cette ""soi disant"" banque se permet de clôturer de sa propre initiative un compte lep, car visiblement 1.5% d'intérêts c'est trop à donner à ses clients. Service lamentable.Aucune hotline gratuite, le conseiller de ma ville n'est jamais joignable."
36,Avis La Banque Postale #107,"4,8 sur 5 étoiles",(Évaluation de Marie le 11/05/2022),J'ai eu un virement frauduleux sur mon compte bancaire. Le 29 janvier 2022. Je me suis debatue avec le centre d'appel sans obtenir satisfaction. La prise en charge de mon problème a été réglé par la directrice de ma banque postale. Je remercie sincèrement cette personne. Je recommande.
37,Avis La Banque Postale #106,"1,8 sur 5 étoiles",(Évaluation de Axiome le 11/05/2022),"Client depuis plusieurs années par un compte joint avec mon épouse, je déconseille la création d'un compte à la Banque postale. Nous avons affaire à un système paranoïaque avec un identifiant personnel, inutilisable par l'époux. La carte bancaire étant attribuée obligatoirement au nom de Mme, ce qui nous oblige à avoir une carte chacun, si on veut éviter des complications dues à l'identification, sans compter les multiples contrôles lorsque vous faites un achat sur internet.Etant de plus d'un âge avancé, cela constitue une véritable torture pour les personnes âgées ."
38,Avis La Banque Postale #105,"2,4 sur 5 étoiles",(Évaluation de F le 09/05/2022),"2 expériences négatives:- à titre particulier, j'ai dû faire un changement de banque il y a une dizaine d'année pour un prêt, ils ont fermé le compte en même temps qu'un chèque arrivait, ils ne m'ont pas appelé pour dire qu'il y a avait un souci. Heureusement, la banque dans laquelle j'avais transféré mon compte a été très réactive et a résolu le problème en moins d'une semaine;- à titre associatif, j'ai ouvert mon compte associatif il y a plus de 15 ans car à cette époque les tarifs étaient avantageux. A ce jour cela fait plus d'un an que j'essaye d´entrer en contact et d'avoir des réponses. Au guichet les conseillers bancaires comprennent mais ne peuvent rien faire, et sont démunis, tous les pouvoirs étant centralisés au centre financier qui ne répond pas aux mails, aux lettres recommandées, injoignables au téléphone et les rares fois où je les avais au téléphone, ils ont donné des informations contraires des guichets bancaires postaux.Cela fait plus de 3 semaines que j'ai envoyé mon recommandé en ayant ouvert un autre compte dans une autre banque mais toujours pas de virement de fait."
39,Avis La Banque Postale #104,"2,4 sur 5 étoiles",(Évaluation de Jacky le 06/05/2022),"Je suis à LBP depuis 40 ans sans trop de problème jusqu'à il y a 2 à 3 ans. Depuis 1 ans ce sont les prélèvements et virements qui ne fonctionnent plus bien. L´an dernier ils ont viré 2 fois mon loyer, fin d'année pas de virement de loyer; je leur ai demandé de faire les virements régulièrement mais j'ai l'impression de ne pas parler la même langue qu'eux. Je viens de leur demander la contestation d'un prélèvement prévu le 2.5, he bien le prélèvement a été fait et ils s'étonnent quand je leur téléphone car en faisant ce prélèvement ils m'en ont refusé un autre. J 'attends de savoir s'ils auront fait le remboursement de l'un et le paiement de l'autre. Mécontente du service client qui me parait incompétent."
40,Avis La Banque Postale #103,"1,6 sur 5 étoiles",(Évaluation de Christine le 06/05/2022),"Si je pouvais donner zéro étoile cela correspondrait parfaitement à mon expérience avec La Banque Postale. Cela fait 3mois que j’ai demandé par écrit recommandée avec AR la clôture de mon CCP. Ils font traîner les choses en me redemandant les mêmes documents depuis février, probablement afin de continuer à retirer les frais de tenue de compte."
